"E_div_numb","Elect_div","Numccds","Actual","Projected","Total_Popu","Australian","Area_SqKm","Sortname"
1,"Banks",370,0,0,0,0,53.007212355657,"Banks"
2,"Barton",380,0,0,0,0,39.608255317977,"Barton"
3,"Bennelong",357,0,0,0,0,60.265557340261,"Bennelong"
4,"Berowra",392,0,0,0,0,786.40134002481,"Berowra"
5,"Blaxland",406,0,0,0,0,61.071030977806,"Blaxland"
6,"Bradfield",357,0,0,0,0,101.37936149876,"Bradfield"
7,"Calare",453,0,0,0,0,32666.202795237,"Calare"
8,"Chifley",387,0,0,0,0,125.94218267579,"Chifley"
9,"Cook",357,0,0,0,0,93.822495529488,"Cook"
10,"Cowper",464,0,0,0,0,7296.1359495466,"Cowper"
11,"Cunningham",375,0,0,0,0,518.77552559698,"Cunningham"
12,"Dobell",382,0,0,0,0,787.16957975242,"Dobell"
13,"Eden-Monaro",433,0,0,0,0,41617.111439561,"Eden-Monaro"
14,"Farrer",481,0,0,0,0,126590.00812,"Farrer"
15,"Fowler",381,0,0,0,0,60.354185622051,"Fowler"
16,"Gilmore",417,0,0,0,0,6341.7001184382,"Gilmore"
17,"Grayndler",363,0,0,0,0,32.298701553755,"Grayndler"
18,"Greenway",334,0,0,0,0,81.34897980184,"Greenway"
19,"Hughes",375,0,0,0,0,369.32581944304,"Hughes"
20,"Hume",395,0,0,0,0,17239.719430046,"Hume"
21,"Hunter",424,0,0,0,0,10639.861096371,"Hunter"
22,"Kingsford Smith",384,0,0,0,0,91.027220546961,"Kingsford Smith"
23,"Lindsay",374,0,0,0,0,339.03662835054,"Lindsay"
24,"Lyne",433,0,0,0,0,16099.473298558,"Lyne"
25,"Macarthur",388,0,0,0,0,362.76022332352,"Macarthur"
26,"Mackellar",366,0,0,0,0,233.24485996496,"Mackellar"
27,"Macquarie",374,0,0,0,0,4373.9920819497,"Macquarie"
28,"McMahon",390,0,0,0,0,168.41690660501,"McMahon"
29,"Mitchell",324,0,0,0,0,101.06674490261,"Mitchell"
30,"New England",439,0,0,0,0,66394.20732648,"New England"
31,"Newcastle",379,0,0,0,0,170.78396268789,"Newcastle"
32,"North Sydney",366,0,0,0,0,52.820341591442,"North Sydney"
33,"Page",503,0,0,0,0,19342.197652207,"Page"
34,"Parkes",481,0,0,0,0,393412.85420227,"Parkes"
35,"Parramatta",402,0,0,0,0,56.770103353206,"Parramatta"
36,"Paterson",404,0,0,0,0,1123.4911766664,"Paterson"
37,"Reid",385,0,0,0,0,55.106740631561,"Reid"
38,"Richmond",406,0,0,0,0,2147.5733760286,"Richmond"
39,"Riverina",467,0,0,0,0,48988.422154114,"Riverina"
40,"Robertson",367,0,0,0,0,980.03104091367,"Robertson"
41,"Shortland",374,0,0,0,0,264.71447124779,"Shortland"
42,"Sydney",391,0,0,0,0,43.987546041943,"Sydney"
43,"Warringah",351,0,0,0,0,68.228120360877,"Warringah"
44,"Watson",399,0,0,0,0,47.483262096275,"Watson"
45,"Wentworth",350,0,0,0,0,37.652062892144,"Wentworth"
46,"Werriwa",368,0,0,0,0,171.61810774423,"Werriwa"
47,"Whitlam",390,0,0,0,0,1330.83873751,"Whitlam"
