"DIV_NUMBER","ELECT_DIV","NUMCCDS","ACTUAL","PROJECTED","POPULATION","OVER_18","AREA_SQKM","SORTNAME"
1,"Adelaide",318,0,0,0,0,76.0074,"Adelaide"
2,"Barker",343,0,0,0,0,63885.71,"Barker"
3,"Boothby",281,0,0,0,0,129.682,"Boothby"
4,"Grey",429,0,0,0,0,904881.23,"Grey"
5,"Hindmarsh",322,0,0,0,0,77.5908,"Hindmarsh"
6,"Kingston",229,0,0,0,0,170.572,"Kingston"
7,"Makin",232,0,0,0,0,130.08,"Makin"
8,"Mayo",276,0,0,0,0,9314.65,"Mayo"
9,"Port Adelaide",299,0,0,0,0,180.645,"Port Adelaide"
10,"Sturt",255,0,0,0,0,85.3432,"Sturt"
11,"Wakefield",277,0,0,0,0,6407.12,"Wakefield"
